# Constructed from biom file
#OTU ID	WT1_R3TK43_d7_COLON	WT2_L1TK28_D7_COLON	WT3_L1TK41_d7_COLON	WT4_R1TK44_d7_COLON	KO1_R3L1TK43_d7_COLON	KO2_R1R3TK28_d7_COLON	KO3_L3TK40_d7_COLON	KO4_TK44L1_d7_COLON	WT1_R3TK43_d0_STOOL	WT1_R3TK43_d7_STOOL	WT2_L1TK28_d0_STOOL	WT2_L1TK28_D7_STOOL	WT3_L1TK41_d0_STOOL	WT3_L1TK41_d7_STOOL	WT4_R1TK44_d0_STOOL	WT4_R1TK44_d7_STOOL	KO1_R3L1TK43_d0_STOOL	KO1_R3L1TK43_d7_STOOL	KO2_R1R3TK28_d0_STOOL	KO2_R1R3TK28_d7_STOOL	KO3_L3TK40_d0_STOOL	KO3_L3TK40_d7_STOOL	KO4_TK44L1_d0_STOOL	KO4_TK44L1_d7_STOOL	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella	306.0	185.0	648.0	960.0	342.0	1950.0	3451.0	281.0	60.0	6.0	93.0	78.0	57.0	42.0	184.0	116.0	61.0	14.0	93.0	58.0	7.0	1292.0	180.0	39.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus	12.0	18.0	66.0	8.0	0.0	22.0	0.0	0.0	6.0	0.0	12.0	10.0	0.0	4.0	17.0	0.0	0.0	0.0	151.0	40.0	0.0	0.0	13.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Soleaferrea	74.0	78.0	244.0	48.0	0.0	0.0	0.0	0.0	26.0	0.0	108.0	63.0	39.0	13.0	223.0	0.0	86.0	0.0	125.0	42.0	28.0	13.0	113.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor	122.0	100.0	65.0	126.0	0.0	250.0	135.0	0.0	57.0	0.0	139.0	86.0	52.0	23.0	390.0	43.0	58.0	0.0	89.0	36.0	0.0	147.0	55.0	59.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GCA-900066225	26.0	21.0	22.0	105.0	0.0	64.0	55.0	0.0	19.0	7.0	55.0	20.0	0.0	0.0	41.0	0.0	0.0	0.0	48.0	18.0	20.0	52.0	42.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Harryflintia	35.0	0.0	69.0	21.0	0.0	20.0	0.0	0.0	12.0	0.0	17.0	13.0	0.0	0.0	24.0	0.0	11.0	0.0	31.0	15.0	11.0	22.0	36.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas	131.0	139.0	436.0	142.0	44.0	395.0	53.0	0.0	103.0	68.0	617.0	195.0	156.0	35.0	429.0	22.0	193.0	0.0	712.0	133.0	45.0	220.0	153.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter	465.0	436.0	2236.0	801.0	0.0	1467.0	182.0	0.0	136.0	58.0	667.0	301.0	222.0	53.0	919.0	102.0	237.0	0.0	629.0	89.0	85.0	935.0	756.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium	1008.0	1071.0	2172.0	751.0	44.0	2045.0	165.0	0.0	176.0	104.0	2204.0	889.0	286.0	135.0	1609.0	386.0	495.0	0.0	2470.0	446.0	195.0	761.0	705.0	27.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_5	275.0	191.0	375.0	427.0	130.0	116.0	40.0	32.0	117.0	77.0	576.0	212.0	22.0	0.0	897.0	93.0	450.0	20.0	824.0	182.0	28.0	688.0	390.0	64.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_6	19.0	257.0	465.0	314.0	0.0	0.0	0.0	0.0	23.0	16.0	196.0	110.0	44.0	29.0	339.0	93.0	97.0	0.0	185.0	45.0	12.0	31.0	150.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium_9	770.0	567.0	1543.0	934.0	357.0	2384.0	30.0	34.0	420.0	140.0	1144.0	663.0	435.0	172.0	1224.0	320.0	567.0	0.0	1298.0	344.0	372.0	708.0	579.0	69.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group	33.0	35.0	0.0	84.0	0.0	34.0	0.0	0.0	37.0	29.0	67.0	39.0	11.0	14.0	112.0	46.0	54.0	0.0	96.0	22.0	55.0	12.0	65.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005	0.0	0.0	9.0	19.0	0.0	8.0	0.0	0.0	15.0	8.0	40.0	20.0	16.0	10.0	30.0	7.0	8.0	0.0	18.0	20.0	4.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-009	162.0	85.0	132.0	153.0	0.0	36.0	24.0	0.0	10.0	0.0	87.0	21.0	33.0	0.0	141.0	19.0	0.0	0.0	68.0	12.0	17.0	20.0	78.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-010	45.0	101.0	21.0	43.0	0.0	15.0	0.0	0.0	21.0	33.0	73.0	36.0	37.0	5.0	0.0	38.0	62.0	0.0	338.0	26.0	86.0	0.0	45.0	14.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-013	49.0	53.0	37.0	135.0	0.0	53.0	0.0	17.0	43.0	71.0	39.0	71.0	62.0	9.0	248.0	48.0	100.0	0.0	148.0	72.0	19.0	6.0	20.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-014	12.0	755.0	101.0	1394.0	0.0	0.0	0.0	2.0	1211.0	0.0	528.0	208.0	102.0	20.0	948.0	101.0	1143.0	0.0	1005.0	0.0	257.0	0.0	362.0	11.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus_1	0.0	124.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	45.0	71.0	12.0	0.0	0.0	0.0	0.0	127.0	271.0	158.0	29.0	0.0	0.0
